fixture_id,e035_baseline_cost,e035_old_context_cost,e037_full_source_cost,e039_no_source_cost,no_source_minus_baseline_cost,no_source_minus_full_source_cost,no_source_minus_old_context_cost,e035_baseline_turns,e037_full_source_turns,e039_no_source_turns,no_source_minus_baseline_turns,no_source_minus_full_source_turns,e035_baseline_tools,e037_full_source_tools,e039_no_source_tools,no_source_minus_baseline_tools,no_source_minus_full_source_tools,e035_baseline_reads,e037_full_source_reads,e039_no_source_reads,no_source_minus_baseline_reads,no_source_minus_full_source_reads,e035_baseline_quality,e037_full_source_quality,e039_no_source_quality
primary-03-stale-process-doc-v1,0.122788,0.121392,0.185906,0.109213,-0.013574,-0.076692,-0.012179,9,9,8,-1,-1,8,8,7,-1,-1,6,5,5,-1,0,pass 6/6,pass 6/6,pass 6/6
primary-04-safety-blocked-source-change-v1,0.100238,0.230924,0.132884,0.089409,-0.010829,-0.043475,-0.141515,8,11,7,-1,-4,7,10,6,-1,-4,6,8,5,-1,-3,pass 6/6,pass 6/6,pass 6/6
primary-05-inaccessible-linked-docs-v1,0.131931,0.141825,0.128616,0.089143,-0.042788,-0.039473,-0.052682,11,10,7,-4,-3,10,9,6,-4,-3,8,8,4,-4,-4,pass 6/6,pass 6/6,pass 6/6
