fixture_id,model,variant,source_access,run_dir,exit_code,is_error,duration_ms,num_turns,total_cost_usd,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,tool_calls,files_read,bash_commands,permission_denials,tool_names
primary-01-overlapping-file-change-v1,sonnet,context,status_open,primary-01-overlapping-file-change-v1-sonnet-context-source-status_open,0,False,24808,3,0.1460016,4,19295,36082,1293,2,1,0,0,"{""Edit"": 1, ""Read"": 1}"
primary-02-changed-acceptance-criteria-v1,sonnet,context,status_open,primary-02-changed-acceptance-criteria-v1-sonnet-context-source-status_open,0,False,58226,8,0.15024389999999999,8,10380,130183,3259,7,2,2,0,"{""Bash"": 2, ""Edit"": 2, ""Glob"": 1, ""Read"": 2}"
primary-03-stale-process-doc-v1,sonnet,context,status_open,primary-03-stale-process-doc-v1-sonnet-context-source-status_open,0,False,39524,6,0.1051698,6,9049,89726,1596,5,3,1,0,"{""Bash"": 1, ""Edit"": 1, ""Read"": 3}"
primary-04-safety-blocked-source-change-v1,sonnet,context,status_open,primary-04-safety-blocked-source-change-v1-sonnet-context-source-status_open,0,False,29938,7,0.09273479999999999,5,8535,70016,1367,6,5,1,0,"{""Bash"": 1, ""Read"": 5}"
primary-05-inaccessible-linked-docs-v1,sonnet,context,status_open,primary-05-inaccessible-linked-docs-v1-sonnet-context-source-status_open,0,False,31124,8,0.09509190000000001,5,8787,70133,1421,7,5,2,0,"{""Bash"": 2, ""Read"": 5}"
primary-06-project-guidance-applies-v1,sonnet,context,status_open,primary-06-project-guidance-applies-v1-sonnet-context-source-status_open,0,False,23506,6,0.0808473,5,7294,67511,1121,5,4,0,0,"{""Glob"": 1, ""Read"": 4}"
