fixture_id,model,variant,source_access,run_dir,exit_code,is_error,duration_ms,num_turns,total_cost_usd,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,tool_calls,files_read,bash_commands,permission_denials,tool_names
primary-01-overlapping-file-change-v1,sonnet,context,status_open,primary-01-overlapping-file-change-v1-sonnet-context-source-status_open,0,False,24000,4,0.0757596,4,7246,48372,1184,3,1,1,0,"{""Bash"": 1, ""Edit"": 1, ""Read"": 1}"
primary-02-changed-acceptance-criteria-v1,sonnet,context,status_open,primary-02-changed-acceptance-criteria-v1-sonnet-context-source-status_open,0,False,99764,11,0.2127603,10,13334,183821,5172,10,3,4,0,"{""Bash"": 4, ""Edit"": 3, ""Read"": 3}"
primary-03-stale-process-doc-v1,sonnet,context,status_open,primary-03-stale-process-doc-v1-sonnet-context-source-status_open,0,False,31915,6,0.09768450000000001,7,7453,104185,1446,5,1,3,0,"{""Bash"": 3, ""Edit"": 1, ""Read"": 1}"
primary-04-safety-blocked-source-change-v1,sonnet,context,status_open,primary-04-safety-blocked-source-change-v1-sonnet-context-source-status_open,0,False,47244,8,0.0985005,6,8041,88005,1589,7,5,1,0,"{""Bash"": 1, ""Glob"": 1, ""Read"": 5}"
primary-05-inaccessible-linked-docs-v1,sonnet,context,status_open,primary-05-inaccessible-linked-docs-v1-sonnet-context-source-status_open,0,False,42575,8,0.112791,6,10179,90930,1628,7,5,2,0,"{""Bash"": 2, ""Read"": 5}"
primary-06-project-guidance-applies-v1,sonnet,context,status_open,primary-06-project-guidance-applies-v1-sonnet-context-source-status_open,0,False,79863,12,0.19147589999999998,11,12339,202313,3781,11,6,2,1,"{""Bash"": 2, ""Edit"": 3, ""Read"": 6}"
