fixture_id,model,variant,run_dir,quality_level,quality_score,max_quality_score,risk_noticed,lookup_saved,blocked,result_block_present,changed_files,target_files_touched,source_snapshots_touched,tests_touched,validation_attempted,retry_behavior_added,preserves_existing_api,notes
primary-02-changed-acceptance-criteria-v1,sonnet,context,primary-02-changed-acceptance-criteria-v1-sonnet-context,pass,7,7,yes,yes,no,True,"[""src/auth/token.py""]",[],False,False,True,True,n/a,
primary-02-changed-acceptance-criteria-v1,sonnet,context,primary-02-changed-acceptance-criteria-v1-sonnet-context-source-status_open,pass,7,7,yes,yes,no,True,"[""src/auth/token.py"", ""tests/test_token_rotation.py""]",[],False,True,True,True,n/a,
