fixture_id,model,variant,source_access,run_dir,exit_code,is_error,duration_ms,num_turns,total_cost_usd,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,tool_calls,files_read,bash_commands,permission_denials,tool_names
primary-03-stale-process-doc-v1,sonnet,context,status_only,primary-03-stale-process-doc-v1-sonnet-context-source-status_only,0,False,39838,7,0.1069701,6,9140,89107,1692,6,4,1,0,"{""Bash"": 1, ""Edit"": 1, ""Read"": 4}"
primary-04-safety-blocked-source-change-v1,sonnet,context,status_only,primary-04-safety-blocked-source-change-v1-sonnet-context-source-status_only,0,False,30796,6,0.0833361,4,8162,49407,1302,5,3,2,0,"{""Bash"": 2, ""Read"": 3}"
primary-05-inaccessible-linked-docs-v1,sonnet,context,status_only,primary-05-inaccessible-linked-docs-v1-sonnet-context-source-status_only,0,False,28374,8,0.09251519999999999,6,7480,86224,1450,7,2,5,0,"{""Bash"": 5, ""Read"": 2}"
